aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777815470.85707,3750000,58.3760258,26.5535614,269.4,-90,89.4,89.4,42.98,-76.4,-85.1
1777815475.79303,2500000,58.3760949,26.5534458,336.8,-90,156.8,156.8,48.17,-72.8,-84.8
1777815475.99116,3593750,58.3760949,26.5534458,336.8,-90,156.8,156.8,42.48,-75,-85.1
1777815476.46146,2851562,58.376104,26.5534462,1.2,-90,181.2,181.2,47.62,-73.9,-87
1777815477.80298,3320312,58.3761132,26.5534457,358.3,15.6,283.9,72.7,47.72,-72.7,-83
1777815478.08753,3398438,58.3761222,26.5534469,4,-90,184,184,46.34,-72.9,-82.1
1777815478.38894,2343750,58.3761222,26.5534469,4,16.9,290.9,77.1,47.99,-71.6,-84.2
1777815478.41117,3828125,58.3761222,26.5534469,4,-90,184,184,44.12,-75.1,-86
1777815480.09763,2187500,58.3761428,26.5534514,5.3,16,291.3,79.3,46.21,-68.3,-83.4
1777815481.13874,2187500,58.3761555,26.5534541,6.4,-90,186.4,186.4,46.84,-71,-81.6
1777815482.04937,2187500,58.3761708,26.5534579,7.4,14.7,292.1,82.7,44.66,-71.5,-83
1777815482.10412,2187500,58.3761708,26.5534579,7.4,-90,187.4,187.4,47.08,-69.3,-80.6
1777815482.22876,2148438,58.3761708,26.5534579,7.4,15.5,292.9,81.9,46.21,-69.3,-82.6
1777815482.25196,2265625,58.3761708,26.5534579,7.4,-90,187.4,187.4,46.97,-70.1,-82
1777815482.64238,3984375,58.3761708,26.5534579,7.4,14.7,292.1,82.7,45.57,-74.1,-85.3
1777815482.67717,2226562,58.3761708,26.5534579,7.4,-90,187.4,187.4,45.71,-72.3,-83.2
1777815482.97296,2265625,58.3761708,26.5534579,7.4,16.8,294.2,80.6,47.35,-69.4,-79.9
1777815483.19255,2148438,58.3761888,26.553467,14.8,-90,194.8,194.8,47.54,-69.5,-80.2
1777815483.33215,2578125,58.3761888,26.553467,14.8,16.1,300.9,88.7,48.24,-67.9,-79
1777815483.35919,2304688,58.3761888,26.553467,14.8,-90,194.8,194.8,46.47,-69.3,-81.1
1777815483.40861,2226562,58.3761888,26.553467,14.8,14.8,299.6,90,46.23,-70.7,-83.3
1777815483.40991,2226562,58.3761888,26.553467,14.8,-90,194.8,194.8,47.15,-69.6,-81.8
1777815483.43192,2421875,58.3761888,26.553467,14.8,16.1,300.9,88.7,48.51,-67.9,-79.3
1777815483.45838,2265625,58.3761888,26.553467,14.8,-90,194.8,194.8,48.36,-70,-81.7
1777815483.45978,2226562,58.3761888,26.553467,14.8,15.7,300.5,89.1,47.51,-71.6,-83.4
1777815484.03278,2187500,58.3761888,26.553467,14.8,-90,194.8,194.8,44.11,-69.4,-79.3
1777815484.15708,2187500,58.3762107,26.5534853,23.7,17.2,310.9,96.5,45.79,-68.6,-79.2
1777815484.4211,2187500,58.3762107,26.5534853,23.7,-90,203.7,203.7,48.32,-68.7,-78.6
1777815485.55434,2695312,58.3762351,26.5535136,31.3,17.5,318.8,103.8,45.61,-73.6,-79.7
1777815485.70224,2226562,58.3762351,26.5535136,31.3,-90,211.3,211.3,48.16,-72.3,-79
1777815485.85278,3671875,58.3762351,26.5535136,31.3,-90,211.3,211.3,42.84,-76.5,-82.7
1777815486.03622,3515625,58.376262,26.553548,33.8,17.3,321.1,106.5,43.69,-74.3,-80.2
1777815486.03796,2812500,58.376262,26.553548,33.8,-90,213.8,213.8,43.58,-74,-80
1777815490.13343,2617188,58.3763801,26.5536921,38.7,17.2,325.9,111.5,44.19,-74.3,-82.5
1777815492.19179,4101562,58.3764193,26.5537775,52,-90,232,232,42.28,-75.5,-82.8
1777815492.79937,2187500,58.3764193,26.5537775,52,16.7,338.7,125.3,45.35,-71.9,-80.2
1777815492.94699,2187500,58.3764193,26.5537775,52,-90,232,232,49.05,-71.5,-81.2
1777815493.06565,2656250,58.3764327,26.5538158,56.3,14.5,340.8,131.8,47.28,-72,-80
1777815494.81869,4218750,58.3764453,26.5538444,49.9,15.4,335.3,124.5,39.8,-76.4,-83.8
1777815494.99255,3789062,58.3764453,26.5538444,49.9,13.2,333.1,126.7,44.85,-74.7,-80.5
1777815497.3419,2226562,58.3765174,26.5538668,350.9,14.6,275.5,66.3,48.25,-69.3,-80.6
1777815498.86287,2187500,58.3765477,26.553842,336.8,-90,156.8,156.8,46,-72.3,-82.8
1777815499.31803,2187500,58.3765791,26.5538084,330.8,16.9,257.7,43.9,45.78,-72.5,-81.7
1777815499.4171,2539062,58.3765791,26.5538084,330.8,-90,150.8,150.8,44.41,-73.5,-83.8
1777815499.63118,2187500,58.3765791,26.5538084,330.8,16.9,257.7,43.9,46.1,-72.3,-81.3
1777815499.65863,2226562,58.3765791,26.5538084,330.8,-90,150.8,150.8,45.86,-73.1,-83.6
1777815499.95716,2148438,58.3765791,26.5538084,330.8,14.2,255,46.6,46.74,-70.6,-80.5
1777815500.05861,2187500,58.3766101,26.5537716,328.1,-90,148.1,148.1,47.75,-72.5,-82.5
1777815500.07411,2304688,58.3766101,26.5537716,328.1,16.6,254.7,41.5,44.23,-73.4,-81
1777815500.1992,2187500,58.3766101,26.5537716,328.1,-90,148.1,148.1,48.01,-70.8,-82
1777815501.9125,3554688,58.37664,26.5537364,328.3,-90,148.3,148.3,45.01,-76.1,-80.6
1777815505.17272,2695312,58.3767425,26.5536394,340.9,16.9,267.8,54,47.02,-72.9,-81
1777815505.24783,3281250,58.3767425,26.5536394,340.9,-90,160.9,160.9,43.72,-74.1,-82.6
1777815505.34755,4765625,58.3767425,26.5536394,340.9,16.3,267.2,54.6,43.76,-74,-81.6
1777815505.79091,4257812,58.3767425,26.5536394,340.9,-90,160.9,160.9,42.01,-77.5,-85.1
1777815505.79239,2187500,58.3767425,26.5536394,340.9,17.3,268.2,53.6,46.12,-73.4,-80.8
1777815509.71882,3593750,58.3768147,26.5535671,325.4,-90,145.4,145.4,41.36,-77.3,-86.9
1777815510.01795,3593750,58.3768147,26.5535671,325.4,16.5,251.9,38.9,42.99,-76.4,-84.9
1777815510.19912,4179688,58.3768293,26.5535424,318.4,-90,138.4,138.4,41.06,-76.9,-85.7
1777815510.50209,3593750,58.3768293,26.5535424,318.4,14.3,242.7,34.1,44.48,-75.8,-83.6
1777815517.51869,2695312,58.3768812,26.553448,345.9,6.9,262.8,69,47.01,-72.7,-79.6
1777815519.05258,2265625,58.3769068,26.553444,355.6,13.5,279.1,72.1,47.13,-70.8,-75.9
1777815520.83338,2226562,58.3769228,26.5534428,357.8,7.9,275.7,79.9,46.37,-72.8,-83.2
1777815522.83187,2226562,58.3769586,26.5534477,5.1,13,288.1,82.1,48.08,-71.2,-80.4
1777815523.55287,2187500,58.3769727,26.5534484,1.4,-90,181.4,181.4,44.84,-69.4,-78.6
1777815523.58774,2304688,58.3769727,26.5534484,1.4,17.2,288.6,74.2,44.71,-69.4,-77.5
1777815523.72739,2265625,58.3769727,26.5534484,1.4,-90,181.4,181.4,44.15,-69.3,-77.5
1777815523.74845,2382812,58.3769727,26.5534484,1.4,15,286.4,76.4,46.18,-70.5,-79.2
1777815523.87104,2187500,58.3769727,26.5534484,1.4,-90,181.4,181.4,48.31,-69.8,-76.5
1777815523.97161,2421875,58.3769727,26.5534484,1.4,17.3,288.7,74.1,46.03,-69.2,-77.1
1777815524.36727,2187500,58.3769825,26.5534453,350.8,-90,170.8,170.8,44.99,-68.7,-74.5
1777815524.36882,2187500,58.3769825,26.5534453,350.8,15.7,276.5,65.1,44.03,-68.4,-74.9
1777815524.43376,2421875,58.3769825,26.5534453,350.8,15.4,276.2,65.4,49.31,-68.5,-73.8
1777815524.51061,2265625,58.3769825,26.5534453,350.8,16.8,277.6,64,43.32,-68.7,-75.2
1777815524.70956,2265625,58.3769825,26.5534453,350.8,15.3,276.1,65.5,50.82,-67.4,-72.9
1777815524.91848,2265625,58.3769825,26.5534453,350.8,14,274.8,66.8,44.71,-68.2,-73.5
