aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777813854.50915,4648438,58.3749589,26.5554242,230.6,-90,140.6,140.6,38.57,-79,-90.3
1777813854.74789,4648438,58.3749589,26.5554242,230.6,15.2,245.8,35.4,41.89,-78.7,-89.7
1777813855.30314,4687500,58.374952,26.5554028,238.4,-90,148.4,148.4,40.87,-78.3,-90.6
1777813862.12169,4960938,58.3749248,26.5552479,224.5,16.9,241.4,27.6,36.52,-80.4,-87.7
1777813862.76202,4765625,58.3749248,26.5552479,224.5,12.8,237.3,31.7,42.57,-80,-87.2
1777813877.65881,3593750,58.3748912,26.5547713,66.3,-90,336.3,336.3,43.58,-76.2,-86.1
1777813879.2232,4453125,58.3748776,26.5548809,110.3,16.9,127.2,273.4,41.2,-77.9,-86.3
1777813879.27202,3593750,58.3748776,26.5548809,110.3,-90,20.3,20.3,42.41,-78.2,-86.2
1777813879.27337,3632812,58.3748776,26.5548809,110.3,17.3,127.6,273,39.63,-78.3,-86.6
1777813880.26313,3242188,58.3748593,26.5549312,124.8,-90,34.8,34.8,45.26,-78.5,-87.5
1777813881.97443,2968750,58.3748308,26.5549699,144.6,-90,54.6,54.6,51.14,-79,-85.7
1777813881.9759,3125000,58.3748308,26.5549699,144.6,-90,54.6,54.6,45.86,-78.6,-85.4
1777813884.09022,4921875,58.3747193,26.5549767,191,-90,101,101,52.31,-74.2,-82.5
1777813885.89983,2148438,58.3746803,26.5549547,196.5,-90,106.5,106.5,45.32,-78.7,-87.4
1777813886.68206,3945312,58.3746403,26.5549293,198.4,-90,108.4,108.4,51.01,-76.2,-87.3
1777813886.73474,1171875,58.3746403,26.5549293,198.4,-90,108.4,108.4,45.66,-77.9,-90
1777813887.39615,4765625,58.3746015,26.5549093,195.1,-90,105.1,105.1,50.7,-78.4,-90.7
1777813888.03641,4921875,58.374563,26.5548941,191.7,-90,101.7,101.7,43.57,-78.7,-90.7
1777813888.47775,4101562,58.374563,26.5548941,191.7,-90,101.7,101.7,49.27,-78,-87.9
1777813890.52491,2265625,58.3744817,26.5548725,188.5,-90,98.5,98.5,43.78,-80.3,-91.2
1777813890.62694,3046875,58.3744817,26.5548725,188.5,-90,98.5,98.5,50.25,-75.9,-85.4
1777813890.92797,4140625,58.3744817,26.5548725,188.5,-90,98.5,98.5,45.06,-79.1,-91.3
1777813892.33016,3906250,58.3744027,26.5548437,191.9,-90,101.9,101.9,52.82,-75.3,-83
1777813892.35629,4726562,58.3744027,26.5548437,191.9,-90,101.9,101.9,58.11,-74.3,-82.4
1777813892.44401,4023438,58.3744027,26.5548437,191.9,-90,101.9,101.9,48.64,-75.3,-82.7
1777813893.80492,4375000,58.3743643,26.5548201,197.8,-90,107.8,107.8,44.41,-80.3,-92.3
1777813894.23448,4023438,58.3743287,26.5547866,206.3,-90,116.3,116.3,50.95,-75.7,-85.1
1777813895.10887,1054688,58.3742978,26.5547416,217.4,-90,127.4,127.4,45.91,-77.1,-86.6
1777813895.20739,4101562,58.3742978,26.5547416,217.4,-90,127.4,127.4,51.34,-75.5,-83.3
1777813895.92124,3320312,58.3742978,26.5547416,217.4,-90,127.4,127.4,46.21,-76.4,-86.5
1777813896.1961,1015625,58.3742691,26.5546844,226.2,-90,136.2,136.2,53.07,-74.4,-84.7
1777813896.56328,1054688,58.3742691,26.5546844,226.2,-90,136.2,136.2,46.68,-77,-85.5
1777813897.57053,3046875,58.3742418,26.5546221,230.2,-90,140.2,140.2,52.94,-76.1,-86.2
1777813897.74229,4609375,58.3742418,26.5546221,230.2,-90,140.2,140.2,43.18,-81,-92.1
1777813898.26104,1054688,58.3742159,26.5545661,228.5,-90,138.5,138.5,48.49,-78.2,-88
1777813899.50984,1601562,58.3741923,26.5545237,223.4,-90,133.4,133.4,55.11,-78.2,-87.8
1777813900.00556,4218750,58.3741923,26.5545237,223.4,-90,133.4,133.4,43.2,-78.1,-88.8
1777813900.9829,4062500,58.3741739,26.5544999,214.1,-90,124.1,124.1,49.07,-77.9,-87.1
1777813901.14834,1210938,58.3741574,26.554494,190.5,-90,100.5,100.5,43.43,-79.5,-87.3
1777813903.97831,4062500,58.3741227,26.5544983,178.9,-71.8,107.1,70.7,47.59,-79.5,-89.4
1777813905.042,3554688,58.3740827,26.5544596,212.1,-61.2,150.9,93.3,46.25,-79.4,-90.4
1777813905.76532,4140625,58.3740827,26.5544596,212.1,-90,122.1,122.1,44.49,-79,-88.3
1777813906.21267,3281250,58.3740588,26.5544361,207.4,-81.1,126.3,108.5,44.65,-79.1,-89
1777813906.21454,3320312,58.3740588,26.5544361,207.4,-90,117.4,117.4,47.06,-79,-88
1777813906.6391,1210938,58.3740588,26.5544361,207.4,-69.6,137.8,97,46.34,-77.7,-88.8
1777813906.73874,4101562,58.3740588,26.5544361,207.4,-75.1,132.3,102.5,50.13,-76.1,-87.2
1777813906.86767,4101562,58.3740588,26.5544361,207.4,-90,117.4,117.4,45.75,-76.4,-84
1777813906.91143,1367188,58.3740588,26.5544361,207.4,-78.8,128.6,106.2,45.25,-78.5,-87.5
1777813907.29988,1406250,58.3740304,26.5544221,194.5,-65.5,129,80,43.76,-79.5,-89.8
1777813907.45529,1679688,58.3740304,26.5544221,194.5,-77.2,117.3,91.7,52.31,-76.6,-84.8
1777813907.81141,1054688,58.3740304,26.5544221,194.5,-71.1,123.4,85.6,51.83,-74.1,-84.9
