aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777815292.17372,4218750,58.3757436,26.5516719,324.4,-8.8,225.6,63.2,40.25,-79.9,-90.7
1777815292.73761,4726562,58.3757436,26.5516719,324.4,-1.7,232.7,56.1,39.55,-79.4,-91.6
1777815293.69748,3593750,58.3757692,26.5516135,309.9,-7.3,212.6,47.2,42.19,-75.6,-91.9
1777815294.97112,3281250,58.3757655,26.5515625,262.1,-13.9,158.2,6,46.61,-73.2,-89.2
1777815295.31805,3593750,58.3757512,26.5515132,241,-6.4,144.6,337.4,41.94,-76,-91.7
1777815295.39177,3750000,58.3757512,26.5515132,241,-11.5,139.5,342.5,43.28,-75.9,-91
1777815295.61864,4804688,58.3757512,26.5515132,241,-1.5,149.5,332.5,40.09,-78.2,-96.5
1777815300.61683,2500000,58.3755419,26.5514743,167.6,-30.3,47.3,287.9,46.4,-72.6,-97.6
1777815300.71784,3593750,58.3755419,26.5514743,167.6,-42.6,35,300.2,47.11,-72.7,-95.7
1777815300.81802,3554688,58.3755419,26.5514743,167.6,-27.5,50.1,285.1,46.64,-74.9,-96
1777815300.81934,3593750,58.3755419,26.5514743,167.6,-3.7,73.9,261.3,42.18,-75.9,-96.9
1777815300.89173,3671875,58.3755419,26.5514743,167.6,-41.5,36.1,299.1,44.11,-74.7,-86.5
1777815301.18345,3593750,58.3755137,26.5514915,162.4,-34.3,38.1,286.7,42.74,-75,-93.3
1777815302.76133,2187500,58.3755003,26.5515009,159.7,-26.5,43.2,276.2,44.71,-73.2,-93.3
1777815303.36414,2304688,58.3754978,26.551498,159.7,-18.4,51.3,268.1,45.27,-72.9,-94.4
1777815303.60378,2187500,58.3754978,26.551498,159.7,-26.1,43.6,275.8,48.5,-72.2,-92
1777815305.073,3593750,58.3755325,26.5514402,322.4,-6.5,225.9,58.9,43.69,-75,-96.8
1777815305.29014,2890625,58.3755325,26.5514402,322.4,-27,205.4,79.4,46.75,-73.5,-94.9
1777815306.3025,3945312,58.3755633,26.5513873,318,-3.4,224.6,51.4,43.15,-76.6,-97.8
1777815306.36324,3593750,58.3755633,26.5513873,318,-45.1,182.9,93.1,42.16,-76.6,-94.2
1777815306.53806,3984375,58.3755633,26.5513873,318,-31.5,196.5,79.5,42.47,-77.1,-96.4
1777815312.35828,4687500,58.3757689,26.5510852,338,-16.8,231.2,84.8,42.94,-79.4,-86.8
1777815312.65156,4140625,58.3757689,26.5510852,338,-23,225,91,40.85,-78.4,-86.3
1777815315.27765,3671875,58.3758463,26.5510909,9.5,-25.2,254.3,124.7,45.86,-75.2,-85.4
1777815317.22928,2382812,58.3758877,26.5511212,15.6,-19.7,265.9,125.3,45.8,-72.3,-85.4
1777815317.37827,3710938,58.3758877,26.5511212,15.6,-6.2,279.4,111.8,41.35,-78.4,-91.8
1777815317.4431,2382812,58.3758877,26.5511212,15.6,-19.9,265.7,125.5,44.62,-72.8,-85.7
