aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777813766.48809,4375000,58.3738273,26.5534179,346.2,13.8,0,152.4,41.05,-80.9,-87.8
1777813770.1622,4218750,58.3741262,26.5534424,12,-90,282,282,38.5,-80.5,-88.5
1777813775.58188,4921875,58.3745611,26.5535365,8.6,-90,278.6,278.6,44.47,-75.9,-82.4
1777813777.26677,4648438,58.3747036,26.5535207,352.6,-90,262.6,262.6,39.37,-79.9,-86.6
1777813778.77417,3554688,58.3747728,26.5535137,356.9,-90,266.9,266.9,45.58,-76.2,-82.8
1777813782.68221,3593750,58.3750161,26.5533865,344.6,-90,254.6,254.6,40.18,-78.6,-82.8
