aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777814011.42024,4023438,58.3726266,26.5534443,19.8,9.2,29,190.6,43.9,-80.6,-87.3
1777814019.29555,4218750,58.3731995,26.5534523,0.1,14.3,14.4,165.8,45.15,-79.7,-86.7
1777814038.69583,5000000,58.3745266,26.5533052,352.9,-90,262.9,262.9,44.32,-80.8,-88.1
1777814040.53691,2929688,58.3746766,26.5532838,355.2,-90,265.2,265.2,49.93,-76.7,-84.1
1777814040.71236,1210938,58.3746766,26.5532838,355.2,-90,265.2,265.2,44.29,-78.3,-86.2
1777814041.26627,4101562,58.3747482,26.5532738,355.8,-90,265.8,265.8,50.05,-77,-84
1777814042.409,1445312,58.3748245,26.5532657,356.8,-90,266.8,266.8,43.76,-79.4,-87.4
1777814043.61294,4765625,58.3748985,26.5532499,353.6,-90,263.6,263.6,52.83,-79.1,-86.4
1777814043.66194,2382812,58.3748985,26.5532499,353.6,-90,263.6,263.6,47.2,-79.6,-85.6
1777814044.93433,4726562,58.3749703,26.553218,346.9,15.4,2.29999999999995,151.5,44.07,-80.9,-84.7
1777814045.12475,4218750,58.3750338,26.553181,343,-90,253,253,41.45,-80,-87.5
1777814045.2391,4218750,58.3750338,26.553181,343,-90,253,253,46.56,-79.2,-86.7
1777814045.40285,4726562,58.3750338,26.553181,343,15.8,358.8,147.2,41.03,-81.1,-85.7
1777814046.2979,3085938,58.3750948,26.5531342,338.1,-90,248.1,248.1,49.71,-75.9,-82.5
1777814046.49103,4453125,58.3750948,26.5531342,338.1,-90,248.1,248.1,55.71,-77.1,-83.3
1777814046.53866,2070312,58.3750948,26.5531342,338.1,-90,248.1,248.1,48.72,-75.7,-84.5
1777814047.30829,4843750,58.3751545,26.5530984,342.5,-90,252.5,252.5,54.2,-73.2,-79.6
1777814047.34716,2070312,58.3751545,26.5530984,342.5,-90,252.5,252.5,48.44,-74.7,-80.8
1777814047.56084,937500,58.3751545,26.5530984,342.5,-90,252.5,252.5,54.86,-73,-79.2
1777814047.97736,937500,58.3751545,26.5530984,342.5,-90,252.5,252.5,46.51,-76.9,-84.7
1777814047.99244,898438,58.3751545,26.5530984,342.5,-90,252.5,252.5,51.88,-72.1,-80.1
1777814048.00348,3710938,58.3751545,26.5530984,342.5,-90,252.5,252.5,52.37,-77.8,-86
1777814048.03005,3398438,58.3751545,26.5530984,342.5,-90,252.5,252.5,50.81,-71.9,-78.6
1777814048.55385,2421875,58.3752135,26.5530585,340.5,-90,250.5,250.5,43.62,-79,-85.4
1777814048.58033,3945312,58.3752135,26.5530585,340.5,-90,250.5,250.5,51.79,-73.2,-79.8
1777814049.36138,1054688,58.3752743,26.5529877,328.6,-90,238.6,238.6,44.46,-78.9,-84.3
1777814049.91412,4023438,58.3752743,26.5529877,328.6,-90,238.6,238.6,49.49,-77.3,-82.5
1777814050.77823,1835938,58.3753206,26.5529566,340.6,-90,250.6,250.6,44.44,-80,-85.5
1777814051.00819,4062500,58.3753206,26.5529566,340.6,-90,250.6,250.6,50.07,-76.8,-82.1
1777814051.44057,2460938,58.3753646,26.5529373,347,-90,257,257,44.98,-79.9,-84.7
1777814051.54107,4101562,58.3753646,26.5529373,347,15.2,2.19999999999999,151.8,44.8,-79,-81.5
1777814051.59374,2148438,58.3753646,26.5529373,347,-90,257,257,45.29,-77.8,-82.7
1777814051.97457,3906250,58.3753646,26.5529373,347,11.6,358.6,155.4,42.4,-79.5,-82.1
1777814052.24786,1367188,58.3754154,26.5529069,342.6,17,359.6,145.6,46.41,-79,-81.9
1777814052.3633,4179688,58.3754154,26.5529069,342.6,7.4,350,155.2,45.39,-78.6,-81.8
