aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777812563.87413,1445312,58.3735885,26.5537719,9.2,14.1,293.3,85.1,45.16,-79.7,-83.6
1777812563.87789,2890625,58.3735885,26.5537719,9.2,13.8,293,85.4,51.63,-80.8,-84.8
1777812563.87931,1289062,58.3735885,26.5537719,9.2,13.7,292.9,85.5,44.39,-79.6,-83.5
1777812563.92773,3984375,58.3735885,26.5537719,9.2,13.7,292.9,85.5,52.28,-80.4,-84.7
1777812564.4277,3984375,58.3736406,26.5538004,16,13.8,299.8,92.2,45.56,-77.7,-81.9
1777812567.31287,4765625,58.3738309,26.5538746,2.8,-90,182.8,182.8,45.24,-81.4,-88.5
1777812568.27493,4140625,58.3738918,26.5538676,356.6,-90,176.6,176.6,39.8,-80.2,-87.2
1777812569.65412,4804688,58.373944,26.5538287,338.6,-90,158.6,158.6,50.59,-80.4,-88.2
1777812570.08429,4960938,58.3739729,26.5537532,306.1,-90,126.1,126.1,43.88,-79.6,-87.1
1777812570.18763,4023438,58.3739729,26.5537532,306.1,16.1,232.2,20,45.25,-78.3,-85.5
1777812571.28827,3984375,58.3739857,26.5536784,288,11,209,7,47.91,-78.9,-86.8
1777812577.10295,4296875,58.373952,26.5533162,264.8,10,184.8,344.8,42.89,-80.8,-87.2
1777812579.81406,3554688,58.3739543,26.5531741,273.8,5.6,189.4,358.2,50.23,-79.2,-87
1777812585.58406,4257812,58.3739666,26.552788,271.6,8.4,190,353.2,43.25,-80.8,-87.3
1777812589.63334,2929688,58.3739862,26.552563,287.3,10.2,207.5,7.10000000000002,48.34,-79.2,-84.9
1777812594.1127,4843750,58.3740811,26.5521954,294.1,11.5,215.6,12.6,42.17,-81.3,-86.8
1777812596.13447,4257812,58.3741237,26.5520281,296.1,12.6,218.7,13.5,48.32,-80.5,-86.8
1777812604.29885,4414062,58.3743493,26.5512712,289,-8.8,190.2,27.8,42.62,-81.7,-91
1777812605.76034,4062500,58.3743658,26.5511567,285.3,-12.4,182.9,27.7,47.9,-77.5,-88.8
1777812606.56334,4609375,58.3743793,26.5510443,283,-5.2,187.8,18.2,44.88,-81.2,-94.7
1777812608.2367,5000000,58.374409,26.5507614,279.1,-14.6,174.5,23.7,46.52,-79.1,-92.1
1777812609.68132,4375000,58.3744119,26.5506228,272.3,-23.1,159.2,25.4,45.34,-78.7,-93.4
1777812610.42807,2421875,58.3744095,26.5505048,267.7,-29.7,148,27.4,44.33,-79.3,-93.2
1777812613.43653,4648438,58.3743991,26.5503468,260.8,-38,132.8,28.8,46.81,-80.7,-92.3
1777812617.49897,4609375,58.3744041,26.5504256,75.2,-43,302.2,208.2,44.14,-80,-91.2
1777812618.33475,4179688,58.3744162,26.5504495,46.1,-45.8,270.3,181.9,49.71,-78,-88
1777812619.07485,2382812,58.374431,26.5504635,26.4,-40.5,255.9,156.9,48.17,-78.8,-91.7
1777812620.06183,3984375,58.3744417,26.5504736,26.2,-36.3,259.9,152.5,42.87,-80.7,-92.9
1777812620.17373,3984375,58.3744417,26.5504736,26.2,-39.8,256.4,156,46.04,-74.9,-88
1777812620.33914,2929688,58.3744417,26.5504736,26.2,-35.9,260.3,152.1,44.26,-80.2,-92.6
1777812620.48727,3203125,58.3744417,26.5504736,26.2,-41.2,255,157.4,47.33,-73.4,-86.1
1777812620.88445,3164062,58.3744417,26.5504736,26.2,-37.7,258.5,153.9,44.07,-79.6,-91.4
1777812622.08871,4179688,58.3744668,26.5504742,354.1,-36.8,227.3,120.9,49.99,-79.4,-91.7
1777812622.13738,3359375,58.3744668,26.5504742,354.1,-40.5,223.6,124.6,44,-79.3,-92.5
1777812622.61599,4765625,58.3744668,26.5504742,354.1,-39.9,224.2,124,51.31,-79.6,-91.3
1777812623.05594,4335938,58.3744848,26.5504692,351.6,-40,221.6,121.6,44.48,-80.1,-91.3
1777812626.65021,1953125,58.3745402,26.5504446,342.4,-36.2,216.2,108.6,49.5,-77.8,-89.8
1777812626.74009,2968750,58.3745402,26.5504446,342.4,-38.2,214.2,110.6,43.03,-79.6,-91.7
1777812626.82793,3046875,58.3745402,26.5504446,342.4,-36.7,215.7,109.1,48.25,-77.1,-89.3
1777812626.88904,4531250,58.3745402,26.5504446,342.4,-42.9,209.5,115.3,42.68,-80.4,-92.1
1777812626.97917,4140625,58.3745402,26.5504446,342.4,-41.4,211,113.8,47.83,-78.9,-90.2
1777812627.36065,2226562,58.3745564,26.5504295,333.8,-36.2,207.6,100,47.15,-78,-90.3
