aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777816381.68406,4179688,58.3748361,26.5536207,328.3,-90,148.3,148.3,42.74,-78.2,-87
1777816381.81139,3867188,58.3748361,26.5536207,328.3,-90,148.3,148.3,48.03,-72.6,-81.4
1777816381.85151,3593750,58.3748361,26.5536207,328.3,-90,148.3,148.3,42.71,-74.7,-82.7
1777816383.59465,2265625,58.3748989,26.5535281,318.1,-90,138.1,138.1,48.19,-70,-78.5
1777816385.1267,4492188,58.3749429,26.553356,286.2,-90,106.2,106.2,43.11,-66.6,-74.5
1777816391.56296,3515625,58.3749668,26.5530333,301.4,-90,121.4,121.4,48.61,-67.2,-74.5
1777816395.76974,3125000,58.3750256,26.5529416,337.3,-90,157.3,157.3,43.25,-67.8,-77
1777816395.96485,4179688,58.3750256,26.5529416,337.3,-90,157.3,157.3,44.04,-73.3,-82.3
1777816395.96626,2968750,58.3750256,26.5529416,337.3,-90,157.3,157.3,43.68,-67.1,-74.7
1777816408.36481,3828125,58.3753933,26.5523179,328.8,17.2,256,41.6,43.31,-67.3,-72.9
1777816408.44895,2500000,58.3753933,26.5523179,328.8,-90,148.8,148.8,44.57,-67.5,-73.8
1777816408.9892,3710938,58.3753933,26.5523179,328.8,14.8,253.6,44,43.75,-67.1,-72.8
1777816409.81287,2617188,58.3754043,26.552271,294,9.6,213.6,14.4,43.35,-67.2,-72
1777816410.14452,2851562,58.3754169,26.5522301,300.6,12.2,222.8,18.4,48.71,-67.6,-73.3
1777816411.4034,4296875,58.3754254,26.5522035,301,7.7,218.7,23.3,43.31,-66.1,-73
1777816411.9947,4531250,58.3754254,26.5522035,301,5.8,216.8,25.2,43.94,-72,-80
1777816412.04597,3789062,58.3754332,26.5521599,289,6.3,205.3,12.7,43.12,-66.5,-73.5
1777816413.3596,4804688,58.3754409,26.5521162,288.6,-1.3,197.3,19.9,42.8,-66.4,-73.2
1777816414.46362,4687500,58.3754476,26.5520782,288.5,-2,196.5,20.5,44.22,-71.4,-79.1
1777816418.3547,3984375,58.3754693,26.551964,283.7,-6.8,186.9,20.5,42.66,-65.7,-71.6
1777816421.08834,4375000,58.3755003,26.5518334,299.3,-12.7,196.6,42,42.04,-65.6,-72.4
1777816427.34505,4453125,58.3755686,26.5514991,279.8,-25.4,164.4,35.2,41.06,-65.4,-74.3
1777816431.82478,3828125,58.3755588,26.5514411,208.9,-32,86.9,330.9,43.06,-65.4,-75.5
1777816435.3889,3945312,58.3755808,26.5513483,300.8,-37.1,173.7,67.9,44.31,-65.9,-74.4
1777816435.69515,3984375,58.3755808,26.5513483,300.8,-42.7,168.1,73.5,43.49,-66,-74
1777816439.80942,4765625,58.3756481,26.5512291,328.7,-48,190.7,106.7,43.39,-66.4,-75.2
1777816439.86917,3476562,58.3756481,26.5512291,328.7,-42.8,195.9,101.5,44.25,-67.2,-76.8
1777816439.96976,3359375,58.3756481,26.5512291,328.7,-49.6,189.1,108.3,43.62,-66.6,-75
1777816440.18361,2343750,58.3756672,26.5512066,328.2,-44.6,193.6,102.8,46.44,-67.2,-75.7
1777816440.51031,3476562,58.3756672,26.5512066,328.2,-50.3,187.9,108.5,42.69,-66.8,-74.8
1777816440.5832,3554688,58.3756672,26.5512066,328.2,-44.8,193.4,103,44.54,-67.4,-76.3
1777816441.37431,3906250,58.3756854,26.5511811,323.8,-45.4,188.4,99.2,43.71,-73.3,-81.1
1777816441.40058,2226562,58.3756854,26.5511811,323.8,-46.1,187.7,99.9,44.4,-67.9,-74.9
1777816447.48366,2421875,58.375784,26.5511126,311.6,-45.9,175.7,87.5,49.42,-68.7,-75.6
1777816447.94882,2929688,58.375784,26.5511126,311.6,-48.4,173.2,90,43.52,-67.8,-76.3
1777816449.70382,4453125,58.375786,26.5510703,263.8,-50.7,123.1,44.5,44,-75.7,-80.3
1777816449.70509,2187500,58.375786,26.5510703,263.8,-50.2,123.6,44,49.52,-69.6,-74.1
1777816449.80388,2890625,58.375786,26.5510703,263.8,-48.4,125.4,42.2,42.45,-68.6,-75.5
1777816450.36455,2304688,58.3757817,26.5510452,252,-46.2,115.8,28.2,48.07,-69.4,-77.4
1777816450.71493,2460938,58.3757817,26.5510452,252,-52.9,109.1,34.9,46.83,-68.6,-76.5
1777816452.72983,2421875,58.3757642,26.5509993,231.3,-47.5,93.8,8.80000000000001,42.84,-67.9,-76.4
1777816455.35425,2539062,58.3757301,26.5509478,211.9,-47.6,74.3,349.5,48.77,-68,-76.1
1777816456.52297,3867188,58.3757198,26.5509323,218.3,-45.4,82.9,353.7,44.5,-75.1,-83.2
1777816456.52441,2343750,58.3757198,26.5509323,218.3,-44.1,84.2,352.4,47.33,-69.9,-78
1777816457.40388,2148438,58.3757122,26.5509132,233.2,-50.2,93,13.4,46.25,-69.4,-77
