aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777815055.3732,4218750,58.3752616,26.5536698,83.7,11.8,5.5,161.9,42.42,-78.9,-86.3
1777815058.49239,4882812,58.3752866,26.5537856,62.9,5.9,338.8,147,40.57,-78.4,-88.3
1777815071.17607,4179688,58.3755765,26.553415,278.2,13.3,201.5,354.9,39.15,-78.6,-82.3
1777815087.32354,3632812,58.3753633,26.5517269,287.4,-7.5,189.9,24.9,38.92,-79.7,-91.1
1777815088.59999,4218750,58.3753959,26.5516417,306.2,-19.3,196.9,55.5,45.51,-73.1,-94.4
1777815089.00436,3867188,58.3753959,26.5516417,306.2,-4.5,211.7,40.7,43.05,-76.8,-95.2
1777815092.23247,2226562,58.3755504,26.5513285,303.5,-7.9,205.6,41.4,48.55,-72.2,-91.3
1777815115.09416,4882812,58.375697,26.550317,20.1,-0.4,289.7,110.5,38.79,-80.5,-95.6
1777815115.52214,4960938,58.375697,26.550317,20.1,-26,264.1,136.1,42.17,-79.4,-88.5
1777815117.47549,4023438,58.3758176,26.5504834,43.8,-32.5,281.3,166.3,44.89,-74.2,-88.1
1777815119.39561,2187500,58.3758993,26.5506966,55.2,-39.8,285.4,185,45.92,-72.1,-84.3
1777815120.38469,2226562,58.3759385,26.5508064,55.7,-34,291.7,179.7,44.64,-73.1,-86.3
1777815120.8747,2265625,58.3759385,26.5508064,55.7,-40.4,285.3,186.1,46.66,-70.7,-82.2
1777815120.94218,3671875,58.3759385,26.5508064,55.7,-1,324.7,146.7,42.1,-76.8,-89.8
1777815121.08847,2226562,58.375983,26.5509045,49.1,-30.1,289,169.2,47.31,-70.8,-84.1
1777815121.76056,2187500,58.375983,26.5509045,49.1,-38.1,281,177.2,46.39,-69.7,-82.5
1777815122.36436,2187500,58.3760209,26.5510027,53.7,-31.5,292.2,175.2,45.91,-69.4,-83.2
1777815122.56471,2226562,58.3760209,26.5510027,53.7,-26,297.7,169.7,46.8,-71.9,-85.1
1777815122.76724,2304688,58.3760209,26.5510027,53.7,-34,289.7,177.7,44.57,-69.4,-83.3
1777815123.41982,4101562,58.376054,26.551094,55.3,0,325.3,145.3,42.93,-76.1,-89.1
1777815124.29843,2187500,58.3760668,26.5511961,76.6,-27.3,319.3,193.9,46.87,-69.6,-83.9
1777815125.88245,3593750,58.3760688,26.5512936,87.7,-1.8,355.9,179.5,44.66,-75.8,-87.9
1777815126.53956,3632812,58.376062,26.5513857,98.1,-57.2,310.9,245.3,43.24,-77.3,-87.2
1777815126.73794,3554688,58.376062,26.5513857,98.1,12.9,21,175.2,42.41,-77.7,-88.5
1777815126.73951,3593750,58.376062,26.5513857,98.1,-90,278.1,278.1,43.13,-77.7,-88
1777815126.97824,3632812,58.376062,26.5513857,98.1,-38.9,329.2,227,39.88,-78.8,-87.1
1777815127.007,4257812,58.376062,26.5513857,98.1,-27.6,340.5,215.7,40.99,-78.9,-88.5
1777815127.21829,4062500,58.3760384,26.5514639,119.9,7.6,37.5,202.3,41.8,-78.8,-88.2
1777815127.24711,4140625,58.3760384,26.5514639,119.9,-38.7,351.2,248.6,41.37,-78.6,-85.8
1777815127.91941,2343750,58.3760384,26.5514639,119.9,-35.3,354.6,245.2,45.23,-73.3,-83.8
1777815129.27905,2226562,58.3759806,26.5515989,128,-5.2,32.8,223.2,43.79,-71.9,-92.3
1777815129.38501,2187500,58.3759806,26.5515989,128,-20.1,17.9,238.1,45.83,-69.4,-91.4
1777815129.56887,2773438,58.3759806,26.5515989,128,-10,28,228,43.94,-73.7,-91.1
1777815129.68079,2265625,58.3759806,26.5515989,128,-15.4,22.6,233.4,46.98,-69,-91.8
1777815130.02248,2265625,58.3759806,26.5515989,128,-23.1,14.9,241.1,46.71,-68.6,-89.1
1777815130.41973,2929688,58.3759421,26.5516308,156.5,-8.3,58.2,254.8,45.42,-68.3,-88.3
1777815131.4305,2226562,58.3759012,26.5516565,161.7,-17.9,53.8,269.6,45.91,-68.8,-84.4
1777815131.84546,2226562,58.3759012,26.5516565,161.7,-24.8,46.9,276.5,45.3,-69.9,-87.8
1777815131.9184,2226562,58.3759012,26.5516565,161.7,-31.8,39.9,283.5,48.38,-70.4,-83.6
1777815133.04653,3671875,58.3758304,26.5516901,160.7,-26.2,44.5,276.9,45.76,-73.5,-90.5
1777815133.15826,2421875,58.3758304,26.5516901,160.7,-16.9,53.8,267.6,46.28,-68.2,-88.1
1777815133.51948,2304688,58.3758304,26.5516901,160.7,-10.1,60.6,260.8,44.18,-68.7,-88.4
1777815134.24908,2187500,58.3758077,26.5517266,139.9,-17.1,32.8,247,45.05,-67.7,-89.6
1777815135.38914,2187500,58.3757836,26.5517351,169.5,-25,54.5,284.5,46.24,-67.9,-84.2
1777815136.17895,2226562,58.3757779,26.5517484,129.2,-25.1,14.1,244.3,45.71,-73.1,-89.9
1777815136.59836,2187500,58.3757779,26.5517484,129.2,-19.5,19.7,238.7,45.59,-71.8,-89.5
1777815136.78429,2148438,58.3757779,26.5517484,129.2,-26.4,12.8,245.6,49.86,-71.2,-88.4
1777815137.10452,2226562,58.3757935,26.5517748,41.5,-19.3,292.2,150.8,45.81,-72.8,-91.4
1777815137.44754,2226562,58.3757935,26.5517748,41.5,-27.6,283.9,159.1,47.52,-70.1,-88.3
1777815137.52977,4023438,58.3757935,26.5517748,41.5,-21.6,289.9,153.1,43.68,-76.4,-94.2
1777815137.55544,2187500,58.3757935,26.5517748,41.5,-28.8,282.7,160.3,46.15,-69.8,-87.7
1777815137.6436,2226562,58.3757935,26.5517748,41.5,-21.5,290,153,46.69,-72.9,-92.1
1777815137.92393,2187500,58.3757935,26.5517748,41.5,-16.1,295.4,147.6,44.68,-71.2,-92.2
1777815137.98757,2187500,58.3757935,26.5517748,41.5,-28.2,283.3,159.7,44.94,-70.7,-91.7
1777815137.98924,2343750,58.3757935,26.5517748,41.5,-21.7,289.8,153.2,46.27,-69.3,-90.3
1777815138.06652,2421875,58.3758155,26.5517824,10.2,-14.2,266,114.4,46.38,-72.3,-91.4
1777815139.31739,3984375,58.3758458,26.55178,357.7,-2,265.7,89.7,42.94,-75.1,-93.3
1777815140.50932,2226562,58.3758728,26.5517579,336.7,-11.6,235.1,78.3,47.51,-70.3,-88.3
1777815141.21783,2187500,58.3758968,26.5517189,319.6,-18,211.6,67.6,46.2,-69.6,-89.8
1777815141.24521,2265625,58.3758968,26.5517189,319.6,-12.6,217,62.2,45.07,-71.8,-92.4
1777815141.3444,2148438,58.3758968,26.5517189,319.6,-18.2,211.4,67.8,45.11,-70.1,-92.4
1777815141.71865,2187500,58.3758968,26.5517189,319.6,-35.5,194.1,85.1,46.22,-67.9,-90.6
1777815141.90241,2187500,58.3758968,26.5517189,319.6,-30.2,199.4,79.8,46.32,-70.6,-91.6
1777815142.35861,2773438,58.3759198,26.5516692,311.5,-36.9,184.6,78.4,46.58,-66.8,-86.6
1777815142.44273,2265625,58.3759198,26.5516692,311.5,-43.9,177.6,85.4,46.74,-69,-89.4
1777815145.95899,4843750,58.3759798,26.5515009,304.6,-21.5,193.1,56.1,42.91,-75.8,-83.2
1777815150.67948,4960938,58.3760067,26.5515052,141,-33.6,17.4,264.6,40.18,-76.6,-82.6
1777815151.84492,5000000,58.3759911,26.5515106,169.6,-26.4,53.2,286,41.05,-76,-81.6
1777815152.39607,3203125,58.3759736,26.5515229,159.8,-31.5,38.3,281.3,44.45,-72.8,-79
1777815153.6664,2265625,58.3759508,26.5515683,133.8,-39.1,4.70000000000001,262.9,47.08,-71.9,-74.7
1777815161.09749,4921875,58.3758288,26.5522,116.7,-6.3,20.4,213,40.57,-78.7,-91.6
1777815171.2858,3750000,58.3758844,26.552715,55.7,2.9,328.6,142.8,42.36,-77.6,-82.2
1777815172.439,3085938,58.375903,26.5527613,52.5,13.3,335.8,129.2,45.19,-73.6,-80.8
1777815172.96539,2187500,58.375903,26.5527613,52.5,8.2,330.7,134.3,45.4,-72.2,-77.4
1777815174.1347,2851562,58.3759411,26.5528456,49.8,13.9,333.7,125.9,44.49,-73.8,-81.3
1777815176.3215,2187500,58.375977,26.5529622,64.1,9.1,343.2,145,47.63,-68.7,-81
1777815177.87605,3593750,58.3759859,26.5530319,76.3,4.1,350.4,162.2,44.05,-74.6,-86.7
1777815178.14315,4375000,58.375987,26.5531056,88.3,12.5,10.8,165.8,42.35,-76.4,-89.4
1777815178.36298,4843750,58.375987,26.5531056,88.3,-90,268.3,268.3,41.73,-78.2,-88.4
1777815178.91516,4726562,58.375987,26.5531056,88.3,14.2,12.5,164.1,40.55,-78,-82.9
1777815179.15722,4960938,58.3759819,26.5531773,97.7,5.4,13.1,182.3,40.77,-78.4,-78.5
