aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777812661.42761,5000000,58.3748163,26.5509168,0.7,-40.5,230.2,131.2,44.44,-80.5,-90.7
1777812661.60995,4609375,58.3748163,26.5509168,0.7,-51,219.7,141.7,47.1,-80.2,-89.8
1777812661.95391,4648438,58.3748163,26.5509168,0.7,-44,226.7,134.7,44.61,-80.8,-88.2
1777812662.01627,4375000,58.3748163,26.5509168,0.7,-49.5,221.2,140.2,50.56,-80.1,-89.1
1777812662.37068,3359375,58.3748451,26.5509161,359.3,-49.5,219.8,138.8,43.72,-79.5,-90.2
1777812662.75343,4804688,58.3748451,26.5509161,359.3,-40,229.3,129.3,46.75,-79.2,-88.9
1777812663.34681,4570312,58.3748731,26.5509136,357.4,-52.1,215.3,139.5,53.68,-79.1,-87.9
1777812663.41766,3710938,58.3748731,26.5509136,357.4,-44.6,222.8,132,44.58,-79.7,-87.7
1777812663.5846,1835938,58.3748731,26.5509136,357.4,-40.7,226.7,128.1,52.34,-79.3,-88.8
1777812663.61777,3593750,58.3748731,26.5509136,357.4,-45.9,221.5,133.3,43.59,-79.8,-87
1777812664.46663,4296875,58.3749002,26.5509048,350.3,-44.1,216.2,124.4,48.78,-78.6,-86.5
1777812664.49346,3164062,58.3749002,26.5509048,350.3,-49.2,211.1,129.5,45.88,-80.1,-89.8
1777812664.59302,3203125,58.3749002,26.5509048,350.3,-42.7,217.6,123,45.41,-79.2,-88.3
1777812664.89683,4179688,58.3749002,26.5509048,350.3,-48.1,212.2,128.4,47.97,-78.9,-90.1
1777812665.21003,4218750,58.3749262,26.5508862,339.3,-42.8,206.5,112.1,43.73,-79.4,-86.6
1777812665.55265,2265625,58.3749262,26.5508862,339.3,-49.3,200,118.6,44.7,-79.6,-89
1777812665.64093,2265625,58.3749262,26.5508862,339.3,-41.3,208,110.6,47.93,-78.3,-87.8
1777812665.67182,3125000,58.3749262,26.5508862,339.3,-50.7,198.6,120,44.2,-80.4,-89.8
1777812665.76813,3203125,58.3749262,26.5508862,339.3,-40.5,208.8,109.8,46.63,-77.8,-87.7
1777812666.11297,3515625,58.3749507,26.550858,329,-48.8,190.2,107.8,45.63,-78.7,-90.4
1777812666.19082,1054688,58.3749507,26.550858,329,-43.3,195.7,102.3,46.27,-78.1,-86.6
1777812666.19659,820312,58.3749507,26.550858,329,-39.5,199.5,98.5,51.55,-79,-88.6
1777812666.27378,4726562,58.3749507,26.550858,329,-44.3,194.7,103.3,44.3,-80.1,-88.3
1777812666.29405,4023438,58.3749507,26.550858,329,-42.8,196.2,101.8,47.96,-75.1,-83.5
1777812666.57445,4882812,58.3749507,26.550858,329,-45.4,193.6,104.4,46.41,-80.8,-93.5
1777812669.17727,4218750,58.3750042,26.5507904,329.6,-37.4,202.2,97,45.31,-80,-91.1
1777812669.18007,3984375,58.3750042,26.5507904,329.6,-46.1,193.5,105.7,44.3,-76.9,-84.2
1777812672.26354,2773438,58.3750196,26.5508164,81.5,-40,311.5,211.5,44.62,-79.7,-86.2
1777812673.15097,2148438,58.3750153,26.5508484,104.3,-54.9,319.4,249.2,44.77,-79.2,-90.6
1777812673.41725,1250000,58.3750153,26.5508484,104.3,-41.1,333.2,235.4,44.25,-78.8,-89.6
1777812673.54371,4023438,58.3750153,26.5508484,104.3,-49.2,325.1,243.5,48.1,-77.1,-88
1777812674.20739,2109375,58.3750108,26.5508885,102.3,-42.2,330.1,234.5,46.21,-78,-90.3
1777812674.75375,3125000,58.3750108,26.5508885,102.3,-34.4,337.9,226.7,46.76,-77.5,-91
1777812674.75633,3085938,58.3750108,26.5508885,102.3,-41.1,331.2,233.4,47.81,-77.5,-90.2
1777812675.22568,4453125,58.3750066,26.5509401,98.8,-46.2,322.6,235,49.23,-80,-92.8
1777812675.60144,4062500,58.3750066,26.5509401,98.8,-39.6,329.2,228.4,49.05,-77,-91.4
1777812675.61305,3046875,58.3750066,26.5509401,98.8,-52,316.8,240.8,49.76,-77.2,-88.9
1777812675.99103,4609375,58.3750066,26.5509401,98.8,-47.2,321.6,236,44.76,-80,-87.3
1777812677.08518,2148438,58.3750016,26.551072,93.1,-56.7,306.4,239.8,46.98,-77.2,-88.3
1777812677.17129,3671875,58.3750016,26.551072,93.1,-40.4,322.7,223.5,44.12,-79.5,-87.7
1777812677.19634,1367188,58.3750016,26.551072,93.1,-47.5,315.6,230.6,44.79,-79.6,-93
1777812677.19773,2656250,58.3750016,26.551072,93.1,-41.5,321.6,224.6,46.29,-79.8,-93.5
1777812677.47196,4062500,58.3750016,26.551072,93.1,-52.4,310.7,235.5,47.3,-76.7,-87.6
1777812677.83593,4257812,58.3750016,26.551072,93.1,-34.2,328.9,217.3,44.53,-79.3,-88.8
1777812677.88832,4960938,58.3750016,26.551072,93.1,-55.4,307.7,238.5,44.94,-79.4,-91.9
1777812677.95338,4492188,58.3750016,26.551072,93.1,-36.3,326.8,219.4,46.43,-79.1,-87.9
