aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777815364.43762,3554688,58.3757601,26.5513961,83.3,-34,319.3,207.3,45.08,-74.6,-86.8
1777815373.58089,3593750,58.3756249,26.5521078,113.6,-16.3,7.29999999999999,219.9,42.8,-76.3,-92
1777815391.23805,3554688,58.3759894,26.553014,56,4,330,142,42.72,-76,-82.1
1777815392.15209,5000000,58.3760071,26.5530735,60.4,-3,327.4,153.4,42.05,-78.1,-83.3
1777815392.88808,3632812,58.3760071,26.5530735,60.4,7.7,338.1,142.7,40.55,-77.9,-82.8
1777815392.961,4140625,58.3760071,26.5530735,60.4,1.7,332.1,148.7,39.44,-78.8,-83.9
1777815395.25213,3671875,58.3760621,26.5532373,52.4,-9.4,313,151.8,41.44,-77.5,-85.3
1777815395.5193,3554688,58.3760621,26.5532373,52.4,-17.5,304.9,159.9,41.5,-77.1,-83.2
1777815396.03894,4609375,58.3760807,26.5532825,51.8,-10.5,311.3,152.3,40.07,-78.6,-85.7
1777815403.63024,3632812,58.3758161,26.5535988,146.5,3.9,60.4,232.6,40.13,-78.5,-84.7
1777815420.90114,3750000,58.3757499,26.5547239,150.3,-4.6,55.7,244.9,39.1,-78.8,-95.4
