aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777816180.94907,4375000,58.3719372,26.5532598,2.2,14.9,17.1,167.3,40.06,-80.3,-88.2
1777816200.26325,2500000,58.3726554,26.5535407,357.4,13.4,10.8,164,46.92,-72.6,-79.2
1777816200.81363,4023438,58.3726554,26.5535407,357.4,13.3,10.7,164.1,41.76,-77.8,-84.9
1777816201.00362,2382812,58.3726554,26.5535407,357.4,12.7,10.1,164.7,47.93,-72.9,-80
1777816203.42286,3554688,58.3728812,26.553594,10.8,14.1,24.9,176.7,42.36,-77.4,-83.8
1777816223.47926,2187500,58.3738062,26.5535976,352.7,15.5,8.19999999999999,157.2,49.82,-70.7,-78
1777816224.73025,2187500,58.3738496,26.5535936,357.2,16.3,13.5,160.9,43.42,-69.3,-76.4
1777816227.71932,2187500,58.3739903,26.5536509,6.4,-90,276.4,276.4,46.31,-69.5,-77.1
1777816229.12326,3867188,58.3740765,26.5536629,353.3,-90,263.3,263.3,43.52,-76.2,-84.8
1777816229.2497,3593750,58.3740765,26.5536629,353.3,16.3,9.60000000000003,157,44.5,-75.8,-84.7
1777816229.3639,3593750,58.3740765,26.5536629,353.3,-90,263.3,263.3,44.82,-75.9,-83.5
1777816230.592,2226562,58.374136,26.5536367,347,-90,257,257,45.73,-70.8,-79.1
1777816231.9986,2187500,58.3741875,26.5536122,345.9,17.5,3.39999999999998,148.4,44.67,-68,-75.4
1777816232.11242,2617188,58.3742409,26.553581,343,-90,253,253,43.47,-68.2,-74.9
1777816234.55327,2578125,58.3743504,26.553506,340.2,17.3,357.5,142.9,45.07,-68.6,-76.6
1777816234.73858,2812500,58.3743504,26.553506,340.2,-90,250.2,250.2,45.52,-69,-76.3
1777816235.03315,2226562,58.3744024,26.5534758,343.1,16.9,0,146.2,45.12,-69.3,-76.8
1777816235.92943,2187500,58.3744024,26.5534758,343.1,-90,253.1,253.1,47.48,-71.8,-81.6
1777816236.04441,3281250,58.374455,26.5534594,350.7,17.4,8.09999999999997,153.3,45.39,-71.8,-81.3
1777816236.19266,2187500,58.374455,26.5534594,350.7,-90,260.7,260.7,47.11,-71.7,-81.1
1777816240.87211,3671875,58.3746751,26.553473,2.6,-90,272.6,272.6,42.02,-67.4,-74.1
1777816240.97398,2382812,58.3746751,26.553473,2.6,-90,272.6,272.6,47.95,-68.1,-76.1
1777816241.3239,3750000,58.3747247,26.5534676,356.7,-90,266.7,266.7,42.78,-67.1,-74.8
1777816242.39346,3671875,58.3747766,26.5534519,351,16.7,7.69999999999999,154.3,42.94,-67.4,-74.8
1777816242.49313,3945312,58.3747766,26.5534519,351,-90,261,261,44.81,-73.2,-79.4
1777816242.49437,3046875,58.3747766,26.5534519,351,-90,261,261,46.54,-67.7,-74.6
1777816242.78002,3476562,58.3747766,26.5534519,351,16.3,7.30000000000001,154.7,43.52,-67.1,-74.7
1777816242.89275,2890625,58.3747766,26.5534519,351,-90,261,261,44.68,-67.5,-74.1
1777816243.01895,3593750,58.3747766,26.5534519,351,17.5,8.5,153.5,43.31,-66.7,-72.6
1777816243.13843,3046875,58.3748318,26.5534189,342.6,-90,252.6,252.6,43.31,-66.4,-72.4
1777816243.63927,3945312,58.3748318,26.5534189,342.6,16.2,358.8,146.4,45.58,-65.7,-72.2
1777816243.64061,4179688,58.3748318,26.5534189,342.6,-90,252.6,252.6,45.45,-65.6,-71.9
1777816244.32406,4414062,58.37488,26.5533911,343.2,15.9,359.1,147.3,48.62,-68.2,-75.4
1777816244.63239,3710938,58.37488,26.5533911,343.2,-90,253.2,253.2,42.3,-66,-73.2
1777816250.97948,2382812,58.3751708,26.5533305,0.6,-90,270.6,270.6,46.58,-71.1,-78.7
1777816257.64122,4296875,58.3754362,26.5533832,7.4,-90,277.4,277.4,45.49,-66.1,-71.4
1777816258.64379,2851562,58.3754698,26.5533778,355.2,-90,265.2,265.2,45.84,-71.4,-78
1777816266.10384,4726562,58.3756778,26.5534302,10.5,-90,280.5,280.5,40.9,-77.7,-83.4
1777816266.10624,2187500,58.3756778,26.5534302,10.5,-90,280.5,280.5,46.85,-71.3,-77.1
1777816268.77046,4492188,58.375701,26.5534235,341.1,-2.5,338.6,163.6,41.2,-77.5,-84.7
1777816268.88401,2617188,58.375701,26.5534235,341.1,-90,251.1,251.1,46.05,-72,-79.4
