aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777815559.94752,2187500,58.3761131,26.5533944,199.3,-36.8,72.5,326.1,47.03,-72,-83.8
1777815560.15372,2187500,58.3760235,26.5533606,191.2,-30.8,70.4,312,47.76,-69.7,-85.2
1777815561.82082,3789062,58.3758975,26.5533521,182,-36.5,55.5,308.5,45.48,-73.1,-93.9
1777815562.68004,2148438,58.3757701,26.5533576,178.7,-29,59.7,297.7,45.54,-71.4,-92
1777815563.73675,3593750,58.3756232,26.5533684,177.8,-23.7,64.1,291.5,45.55,-74.6,-95.3
1777815563.90268,2187500,58.3756232,26.5533684,177.8,0,87.8,267.8,44.38,-73.5,-94.5
1777815566.29426,2382812,58.3751754,26.5534221,175.4,-17.1,68.3,282.5,46.28,-73.6,-95.9
