aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777814108.67195,4804688,58.3749868,26.5545577,117.7,-90,27.7,27.7,46.32,-80.3,-90.1
1777814109.62939,4414062,58.3749744,26.5545852,130.6,0.3,130.9,310.3,44.76,-79.3,-97
1777814109.7299,4023438,58.3749744,26.5545852,130.6,-90,40.6,40.6,48.98,-78.8,-86
1777814110.02032,4062500,58.3749744,26.5545852,130.6,1.9,132.5,308.7,45.68,-77.9,-94.7
1777814110.4568,4062500,58.374957,26.5546117,141.3,-90,51.3,51.3,47.4,-75.6,-89.7
1777814110.45826,4062500,58.374957,26.5546117,141.3,-90,51.3,51.3,52.4,-75.7,-89.8
1777814110.77472,2109375,58.374957,26.5546117,141.3,-90,51.3,51.3,44.59,-77.9,-85.6
1777814111.07212,4296875,58.3749344,26.5546361,150.6,-8.7,141.9,339.3,44.04,-80.4,-97.7
1777814111.3204,1562500,58.3749344,26.5546361,150.6,-90,60.6,60.6,47.78,-79.1,-91.2
1777814111.40885,3945312,58.3749344,26.5546361,150.6,-90,60.6,60.6,42.74,-81.5,-94
1777814111.43378,3945312,58.3749344,26.5546361,150.6,-90,60.6,60.6,49.49,-76.9,-88.9
1777814111.59821,1367188,58.3749344,26.5546361,150.6,-90,60.6,60.6,43.47,-79.2,-92.1
1777814112.6028,2929688,58.3749058,26.554657,159,-90,69,69,48.51,-79,-92.7
1777814112.84543,2695312,58.3749058,26.554657,159,-90,69,69,41.85,-79.7,-93.4
1777814112.84782,4882812,58.3749058,26.554657,159,-90,69,69,47.57,-80.2,-93.9
1777814119.63581,4648438,58.3744864,26.5546378,188.7,-90,98.7,98.7,53.07,-79.2,-90.6
1777814119.96778,2929688,58.3744864,26.5546378,188.7,-90,98.7,98.7,45.95,-78.6,-89.8
1777814121.44159,1875000,58.3743537,26.5546111,187.7,-83.5,104.2,91.2,46.76,-78.4,-92
1777814121.49157,2148438,58.3743537,26.5546111,187.7,-90,97.7,97.7,44.15,-77.7,-90.8
1777814121.98605,3554688,58.3743537,26.5546111,187.7,-90,97.7,97.7,53.46,-77.1,-89.6
1777814122.42839,4648438,58.3742898,26.5545889,190.3,-90,100.3,100.3,45.68,-78.2,-91.5
1777814123.08314,4179688,58.3742157,26.554578,184.4,-83.6,100.8,88,43.56,-79.1,-95.7
1777814123.08434,4101562,58.3742157,26.554578,184.4,-90,94.4,94.4,43.56,-79.2,-95.8
1777814124.32499,1210938,58.3741409,26.5545504,191,-72,119,83,51.21,-77.9,-94.1
1777814124.37383,2070312,58.3741409,26.5545504,191,-90,101,101,49.08,-76.8,-91.9
1777814124.37543,2031250,58.3741409,26.5545504,191,-74.1,116.9,85.1,47.82,-76.8,-93
1777814124.37688,2031250,58.3741409,26.5545504,191,-68.4,122.6,79.4,46.94,-76.9,-93.2
1777814124.37834,2148438,58.3741409,26.5545504,191,-85.2,105.8,96.2,46.12,-76.9,-92.6
